hsa,gene_name,gene_concept
hsa00350,ALDH3A1,gene_218
hsa00350,ADH1A,gene_124
hsa00350,ADH1B,gene_125
hsa00350,ADH1C,gene_126
hsa00350,ADH5,gene_128
hsa00350,TPO,gene_7173
hsa00350,AOX1,gene_316
hsa00350,MIF,gene_4282
hsa00360,PAH,gene_5053
hsa00360,DDC,gene_1644
hsa00360,AOC2,gene_314
hsa00360,MAOB,gene_4129
hsa00360,MAOA,gene_4128
hsa00360,ALDH3A1,gene_218
hsa00360,GOT2,gene_2806
hsa00360,TAT,gene_6898
hsa00360,IL4I1,gene_259307
hsa00360,HPD,gene_3242
hsa00360,MIF,gene_4282
hsa00380,TDO2,gene_6999
hsa00380,IDO1,gene_3620
hsa00380,AFMID,gene_125061
hsa00380,HAAO,gene_23498
hsa00380,DLD,gene_1738
hsa00380,GCDH,gene_2639
hsa00380,HADH,gene_3033
hsa00380,ACAT1,gene_38
hsa00380,DDC,gene_1644
hsa00380,MAOB,gene_4129
hsa00380,MAOA,gene_4128
hsa00380,ALDH2,gene_217
hsa00380,ALDH7A1,gene_501
hsa00380,AOX1,gene_316
hsa00380,ASMT,gene_438
hsa00380,AANAT,gene_15
hsa00380,CYP1A1,gene_1543
hsa00380,CYP1A2,gene_1544
hsa00380,CYP1B1,gene_1545
hsa00380,INMT,gene_11185
hsa00380,IL4I1,gene_259307
hsa00380,AOC1,gene_26
hsa00380,CAT,gene_847
hsa00430,GAD1,gene_2571
hsa00430,CSAD,gene_51380
hsa00430,GGT1,gene_2678
hsa00480,GGT1,gene_2678
hsa00480,GGCT,gene_79017
hsa00480,GCLC,gene_2729
hsa00480,GSS,gene_2937
hsa00480,LAP3,gene_51056
hsa00480,ANPEP,gene_290
hsa00480,GSTM1,gene_2944
hsa00480,GSTP1,gene_2950
hsa00480,GSTK1,gene_373156
hsa00480,GSR,gene_2936
hsa00480,IDH1,gene_3417
hsa00480,PGD,gene_5226
hsa00480,G6PD,gene_2539
hsa00480,TXNDC12,gene_51060
hsa00480,GPX4,gene_2879
hsa00480,GPX3,gene_2878
hsa00480,GPX1,gene_2876
hsa00480,ODC1,gene_4953
hsa00480,SMS,gene_6611
hsa00480,RRM1,gene_6240
hsa00480,RRM2,gene_6241
hsa00500,GAA,gene_2548
hsa00500,SI,gene_6476
hsa00500,UGP2,gene_7360
hsa00500,ENPP3,gene_5169
hsa00500,GBA3,gene_57733
hsa00500,GYS1,gene_2997
hsa00500,PYGM,gene_5837
hsa00500,PYGB,gene_5834
hsa00500,AGL,gene_178
hsa00500,AMY2A,gene_279
hsa00500,AMY1A,gene_276
hsa00500,TREH,gene_11181
hsa00500,PGM1,gene_5236
hsa00500,PGM2,gene_55276
hsa00500,HK3,gene_3101
hsa00500,HK1,gene_3098
hsa00500,HK2,gene_3099
hsa00500,GCK,gene_2645
hsa00500,G6PC1,gene_2538
