hsa,gene_name,gene_concept,year
hsa04660,IKBKG,gene_8517,1947
hsa04662,CD79A,gene_973,1965
hsa04662,BANK1,gene_55024,1857
hsa04662,IKBKG,gene_8517,1947
hsa04662,INPP5D,gene_3635,1794
hsa04664,INPP5D,gene_3635,1794
hsa04664,ALOX5AP,gene_241,1834
hsa04666,WAS,gene_7454,1819
hsa04666,INPP5D,gene_3635,1794
hsa04668,ITCH,gene_83737,1788
hsa04668,IKBKG,gene_8517,1947
hsa04668,LIF,gene_3976,1931
hsa04713,ADCY1,gene_107,1962
hsa04721,NSF,gene_4905,1946
hsa04721,ATP6V0A2,gene_23545,1946
hsa04722,NGF,gene_4803,1964
hsa04723,ADCY1,gene_107,1962
hsa04723,NDUFB3,gene_4709,1948
hsa04724,GLS,gene_2744,1948
hsa04724,ADCY1,gene_107,1962
hsa04724,GLUL,gene_2752,1954
hsa04725,CHAT,gene_1103,1925
hsa04725,ACHE,gene_43,1941
hsa04725,ADCY1,gene_107,1962
hsa04726,DDC,gene_1644,1947
hsa04726,APP,gene_351,1928
hsa04727,GLS,gene_2744,1948
hsa04727,NSF,gene_4905,1946
hsa04727,ADCY1,gene_107,1962
hsa04727,GLUL,gene_2752,1954
hsa04728,DDC,gene_1644,1947
hsa04728,COMT,gene_1312,1958
hsa04750,KNG1,gene_3827,1949
hsa04750,NGF,gene_4803,1964
hsa04750,ADCY1,gene_107,1962
hsa04810,F2,gene_2147,1913
hsa04810,INS,gene_3630,1922
hsa04810,KNG1,gene_3827,1949
hsa04810,MYH14,gene_79784,1891
hsa04910,INS,gene_3630,1922
hsa04910,HK1,gene_3098,1945
hsa04910,GCK,gene_2645,1952
hsa04910,G6PC1,gene_2538,1948
hsa04911,GCK,gene_2645,1952
hsa04911,ATP1B1,gene_481,1941
hsa04911,GCG,gene_2641,1947
hsa04911,ADCY1,gene_107,1962
hsa04911,INS,gene_3630,1922
hsa04911,CCK,gene_885,1946
hsa04912,ADCY1,gene_107,1962
hsa04914,ADCY1,gene_107,1962
hsa04914,INS,gene_3630,1922
hsa04915,ESR2,gene_2100,1915
hsa04915,ADCY1,gene_107,1962
hsa04915,POMC,gene_5443,1946
hsa04916,POMC,gene_5443,1946
hsa04916,ADCY1,gene_107,1962
hsa04916,TYR,gene_7299,1906
hsa04917,PRL,gene_5617,1936
hsa04917,ESR2,gene_2100,1915
hsa04917,GCK,gene_2645,1952
hsa04917,INS,gene_3630,1922
hsa04918,ADCY1,gene_107,1962
hsa04918,TG,gene_7038,1925
hsa04918,ATP1B1,gene_481,1941
hsa04918,GSR,gene_2936,1951
hsa04918,ALB,gene_213,1876
hsa04918,TTR,gene_7276,1961
hsa04918,SERPINA7,gene_6906,1959
hsa04919,ATP1B1,gene_481,1941
hsa04920,IKBKG,gene_8517,1947
hsa04920,POMC,gene_5443,1946
hsa04920,G6PC1,gene_2538,1948
hsa04921,OXT,gene_5020,1929
hsa04921,ADCY1,gene_107,1962
hsa04922,GCG,gene_2641,1947
hsa04922,G6PC1,gene_2538,1948
hsa04922,GCK,gene_2645,1952
hsa04923,ADCY1,gene_107,1962
hsa04923,INS,gene_3630,1922
hsa04924,REN,gene_5972,1940
hsa04924,AGT,gene_183,1958
hsa04925,AGT,gene_183,1958
hsa04925,ATP1B1,gene_481,1941
hsa04925,POMC,gene_5443,1946
hsa04925,ADCY1,gene_107,1962
hsa04925,STAR,gene_6770,1886
hsa04927,POMC,gene_5443,1946
hsa04927,ADCY1,gene_107,1962
hsa04927,STAR,gene_6770,1886
hsa04927,AGT,gene_183,1958
hsa04928,ADCY1,gene_107,1962
hsa04928,PTH,gene_5741,1925
hsa04930,INS,gene_3630,1922
hsa04930,HK1,gene_3098,1945
hsa04930,GCK,gene_2645,1952
hsa04934,ADCY1,gene_107,1962
hsa04934,POMC,gene_5443,1946
hsa04934,STAR,gene_6770,1886
hsa04934,AGT,gene_183,1958
hsa04934,FH,gene_2271,1928
hsa04940,INS,gene_3630,1922
hsa04960,ATP1B1,gene_481,1941
hsa04960,INS,gene_3630,1922
hsa04961,PTH,gene_5741,1925
hsa04961,ATP1B1,gene_481,1941
hsa04962,AVP,gene_551,1929
hsa04962,DYNLL1,gene_8655,1785
hsa04962,NSF,gene_4905,1946
hsa04964,CA2,gene_760,1952
hsa04964,ATP1B1,gene_481,1941
hsa04964,GLS,gene_2744,1948
hsa04966,CA2,gene_760,1952
hsa04966,ATP6V0A2,gene_23545,1946
hsa04966,SLC4A1,gene_6521,1946
hsa04970,ADCY1,gene_107,1962
hsa04970,ATP1B1,gene_481,1941
hsa04970,MUC5AC,gene_4586,1946
hsa04970,LYZ,gene_4069,1928
hsa04970,CAMP,gene_820,1799
hsa04971,GAST,gene_2520,1860
hsa04971,ADCY1,gene_107,1962
hsa04971,ATP1B1,gene_481,1941
hsa04971,CA2,gene_760,1952
hsa04972,CCK,gene_885,1946
hsa04972,CPB1,gene_1360,1947
hsa04972,CEL,gene_1056,1948
hsa04972,ATP1B1,gene_481,1941
hsa04972,SCT,gene_6343,1906
hsa04972,ADCY1,gene_107,1962
hsa04972,CA2,gene_760,1952
hsa04973,LCT,gene_3938,1804
hsa04973,ATP1B1,gene_481,1941
hsa04973,HK1,gene_3098,1945
hsa04973,G6PC1,gene_2538,1948
hsa04974,CPB1,gene_1360,1947
hsa04974,ATP1B1,gene_481,1941
hsa04974,ELN,gene_2006,1925
hsa04975,CEL,gene_1056,1948
hsa04976,CA2,gene_760,1952
hsa04976,ATP1B1,gene_481,1941
hsa04976,SCT,gene_6343,1906
hsa04976,ADCY1,gene_107,1962
hsa04978,ATP1B1,gene_481,1941
hsa04978,FTH1,gene_2495,1942
hsa04978,TF,gene_7018,1948
hsa04979,LPL,gene_4023,1956
hsa04979,STAR,gene_6770,1886
hsa05010,APP,gene_351,1928
hsa05010,GAPDH,gene_2597,1952
hsa05010,IDE,gene_3416,1938
hsa05010,MAPT,gene_4137,1925
hsa05010,NDUFB3,gene_4709,1948
hsa05010,CYTB,gene_4519,1948
hsa05010,COX8A,gene_1351,1806
hsa05010,LPL,gene_4023,1956
hsa05010,CYCS,gene_54205,1939
hsa05010,CSNK2B,gene_1460,1952
hsa05010,AGER,gene_177,1786
hsa05010,IKBKG,gene_8517,1947
hsa05010,INS,gene_3630,1922
hsa05012,MAPT,gene_4137,1925
hsa05012,NDUFB3,gene_4709,1948
hsa05012,CYTB,gene_4519,1948
hsa05012,COX8A,gene_1351,1806
hsa05012,CYCS,gene_54205,1939
hsa05014,CYCS,gene_54205,1939
hsa05014,NDUFB3,gene_4709,1948
hsa05014,CYTB,gene_4519,1948
hsa05014,COX8A,gene_1351,1806
hsa05014,NXF1,gene_10482,1897
hsa05014,CAT,gene_847,1876
hsa05014,DNAH8,gene_1769,1945
hsa05022,APP,gene_351,1928
hsa05022,MAPT,gene_4137,1925
hsa05022,NDUFB3,gene_4709,1948
hsa05022,CYTB,gene_4519,1948
hsa05022,COX8A,gene_1351,1806
hsa05022,CYCS,gene_54205,1939
hsa05022,CAT,gene_847,1876
hsa05022,CSNK2B,gene_1460,1952
hsa05022,DNAH8,gene_1769,1945
hsa05022,AGER,gene_177,1786
hsa05030,DDC,gene_1644,1947
hsa05031,DDC,gene_1644,1947
hsa05031,ARC,gene_23237,1903
hsa05032,ADCY1,gene_107,1962
hsa05171,CXCL8,gene_3576,1921
hsa05171,IKBKG,gene_8517,1947
hsa05171,C3,gene_718,1953
hsa05171,C1S,gene_716,1960
hsa05171,F2,gene_2147,1913
hsa05171,FGB,gene_2244,1868
hsa05200,F2,gene_2147,1913
hsa05200,AGT,gene_183,1958
hsa05200,ADCY1,gene_107,1962
hsa05200,PTEN,gene_5728,1800
hsa05200,IKBKG,gene_8517,1947
hsa05200,KNG1,gene_3827,1949
hsa05200,EPO,gene_2056,1955
hsa05200,CXCL8,gene_3576,1921
hsa05200,ESR2,gene_2100,1915
hsa05200,SPI1,gene_6688,1855
hsa05200,CYCS,gene_54205,1939
hsa05200,FH,gene_2271,1928
hsa05200,HHIP,gene_64399,1807
hsa05202,MPO,gene_4353,1958
hsa05202,SPI1,gene_6688,1855
hsa05202,BCL2A1,gene_597,1948
hsa05202,ERG,gene_2078,1947
hsa05202,CXCL8,gene_3576,1921
hsa05206,PTEN,gene_5728,1800
hsa05206,BMPR2,gene_659,1872
hsa05206,GLS,gene_2744,1948
hsa05210,CYCS,gene_54205,1939
hsa05215,ERG,gene_2078,1947
hsa05215,INS,gene_3630,1922
hsa05215,PTEN,gene_5728,1800
hsa05215,IKBKG,gene_8517,1947
hsa05217,HHIP,gene_64399,1807
hsa05218,PTEN,gene_5728,1800
hsa05220,IKBKG,gene_8517,1947
hsa05221,IKBKG,gene_8517,1947
hsa05221,MPO,gene_4353,1958
hsa05221,SPI1,gene_6688,1855
hsa05221,BCL2A1,gene_597,1948
hsa05224,ESR2,gene_2100,1915
hsa05224,PTEN,gene_5728,1800
hsa05225,PTEN,gene_5728,1800
hsa05225,ARID1A,gene_8289,1822
hsa05230,GCK,gene_2645,1952
hsa05230,GLS,gene_2744,1948
hsa05230,G6PD,gene_2539,1952
hsa05230,HK1,gene_3098,1945
hsa05230,PTEN,gene_5728,1800
hsa05320,TG,gene_7038,1925
hsa05323,PTH,gene_5741,1925
hsa05323,ATP6V0A2,gene_23545,1946
hsa05323,ATP6AP1,gene_537,1959
hsa05323,CXCL8,gene_3576,1921
hsa05414,ADCY1,gene_107,1962
hsa05414,AGT,gene_183,1958
