hsa,gene_name,gene_concept
hsa00330,GAMT,Gene_2593
hsa00330,CKM,Gene_1158
hsa00330,CKMT1A,Gene_548596
hsa00330,CKMT2,Gene_1160
hsa00330,CKB,Gene_1152
hsa00330,CKMT1B,Gene_1159
hsa00330,AZIN2,Gene_113451
hsa00330,AGMAT,Gene_79814
hsa00330,ODC1,Gene_4953
hsa00330,SRM,Gene_6723
hsa00330,SMS,Gene_6611
hsa00330,AMD1,Gene_262
hsa00330,AOC1,Gene_26
hsa00330,SMOX,Gene_54498
hsa00330,ALDH2,Gene_217
hsa00330,ALDH3A2,Gene_224
hsa00330,ALDH1B1,Gene_219
hsa00330,ALDH7A1,Gene_501
hsa00330,ALDH9A1,Gene_223
hsa00330,CNDP1,Gene_84735
hsa00330,CNDP2,Gene_55748
hsa00330,CARNS1,Gene_57571
hsa00330,SAT2,Gene_112483
hsa00330,SAT1,Gene_6303
hsa00330,MAOB,Gene_4129
hsa00330,MAOA,Gene_4128
hsa00330,NOS1,Gene_4842
hsa00330,NOS2,Gene_4843
hsa00330,NOS3,Gene_4846
hsa00330,ARG2,Gene_384
hsa00330,ARG1,Gene_383
hsa00330,OAT,Gene_4942
hsa00330,PYCR3,Gene_65263
hsa00330,PYCR2,Gene_29920
hsa00330,PYCR1,Gene_5831
hsa00330,PRODH,Gene_5625
hsa00330,ALDH4A1,Gene_8659
hsa00330,ALDH18A1,Gene_5832
hsa00330,LAP3,Gene_51056
hsa00330,P4HA2,Gene_8974
hsa00330,P4HA3,Gene_283208
hsa00330,P4HA1,Gene_5033
hsa00330,PRODH2,Gene_58510
hsa00330,GOT1,Gene_2805
hsa00330,GOT1L1,Gene_137362
hsa00330,GOT2,Gene_2806
hsa00330,HOGA1,Gene_112817
hsa00330,DAO,Gene_1610
hsa00330,L3HYPDH,Gene_112849
hsa00340,HAL,Gene_3034
hsa00340,UROC1,Gene_131669
hsa00340,AMDHD1,Gene_144193
hsa00340,FTCD,Gene_10841
hsa00340,HDC,Gene_3067
hsa00340,AOC1,Gene_26
hsa00340,ALDH2,Gene_217
hsa00340,ALDH3A2,Gene_224
hsa00340,ALDH1B1,Gene_219
hsa00340,ALDH7A1,Gene_501
hsa00340,ALDH9A1,Gene_223
hsa00340,ASPA,Gene_443
hsa00340,HNMT,Gene_3176
hsa00340,MAOB,Gene_4129
hsa00340,MAOA,Gene_4128
hsa00340,ALDH3B1,Gene_221
hsa00340,ALDH3B2,Gene_222
hsa00340,ALDH3A1,Gene_218
hsa00340,CARNS1,Gene_57571
hsa00340,CARNMT1,Gene_138199
hsa00340,CNDP2,Gene_55748
hsa00340,CNDP1,Gene_84735
hsa00350,GOT1,Gene_2805
hsa00350,GOT1L1,Gene_137362
hsa00350,GOT2,Gene_2806
hsa00350,TAT,Gene_6898
hsa00350,IL4I1,Gene_259307
hsa00350,HPD,Gene_3242
