hsa,gene_name,gene_concept
hsa00140,AKR1D1,gene_6718
hsa00140,AKR1C4,gene_1109
hsa00140,HSD11B1,gene_3290
hsa00140,HSD11B1L,gene_374875
hsa00140,HSD11B2,gene_3291
hsa00140,AKR1C1,gene_1645
hsa00140,CYP7B1,gene_9420
hsa00140,SULT1E1,gene_6783
hsa00140,HSD17B1,gene_3292
hsa00140,HSD17B2,gene_3294
hsa00140,HSD17B6,gene_8630
hsa00140,HSD17B7,gene_51478
hsa00140,HSD17B8,gene_7923
hsa00140,HSD17B12,gene_51144
hsa00140,DHRS11,gene_79154
hsa00140,CYP1A1,gene_1543
hsa00140,CYP1A2,gene_1544
hsa00140,CYP3A5,gene_1577
hsa00140,CYP3A7,gene_1551
hsa00140,CYP2E1,gene_1571
hsa00140,CYP3A4,gene_1576
hsa00140,CYP1B1,gene_1545
hsa00140,CYP19A1,gene_1588
hsa00140,CYP7A1,gene_1581
hsa00140,HSD17B11,gene_51170
hsa00140,UGT2A1,gene_10941
hsa00140,UGT2A3,gene_79799
hsa00140,UGT2B17,gene_7367
hsa00140,UGT2B11,gene_10720
hsa00140,UGT2B28,gene_54490
hsa00140,UGT1A6,gene_54578
hsa00140,UGT1A4,gene_54657
hsa00140,UGT1A1,gene_54658
hsa00140,UGT1A3,gene_54659
hsa00140,UGT2B10,gene_7365
hsa00140,UGT1A9,gene_54600
hsa00140,UGT2B7,gene_7364
hsa00140,UGT1A10,gene_54575
hsa00140,UGT1A8,gene_54576
hsa00140,UGT1A5,gene_54579
hsa00140,UGT2B15,gene_7366
hsa00140,UGT1A7,gene_54577
hsa00140,UGT2B4,gene_7363
hsa00140,UGT2A2,gene_574537
hsa00140,COMT,gene_1312
hsa00140,LRTOMT,gene_220074
hsa00140,HSD17B3,gene_3293
hsa00230,NUDT9,gene_53343
hsa00230,NUDT5,gene_11164
hsa00230,PGM1,gene_5236
hsa00230,PGM2,gene_55276
hsa00230,PRPS2,gene_5634
hsa00230,PRPS1,gene_5631
hsa00230,PPAT,gene_5471
hsa00230,GART,gene_2618
hsa00230,PFAS,gene_5198
hsa00230,PAICS,gene_10606
hsa00230,ADSL,gene_158
hsa00230,ATIC,gene_471
hsa00230,APRT,gene_353
hsa00230,NT5C2,gene_22978
hsa00230,NT5C1A,gene_84618
hsa00230,NT5C1B,gene_93034
hsa00230,NT5C,gene_30833
hsa00230,NT5M,gene_56953
hsa00230,NT5E,gene_4907
hsa00230,PNP,gene_4860
hsa00230,LACC1,gene_144811
hsa00230,HPRT1,gene_3251
hsa00230,IMPDH1,gene_3614
hsa00230,IMPDH2,gene_3615
hsa00230,NME6,gene_10201
hsa00230,NME7,gene_29922
hsa00230,NME2,gene_4831
hsa00230,NME4,gene_4833
hsa00230,NME1,gene_4830
hsa00230,NME3,gene_4832
hsa00230,ENTPD3,gene_956
hsa00230,ENTPD8,gene_377841
